Payment_Type,Amount,Vendor_Type,PAN_Available,TDS_Section,TDS_Rate,TDS_Amount
Contractor,226260,Individual,No,194C,20,45252.0
Rent,380056,Individual,Yes,194I,10,38005.6
Interest,385923,Individual,Yes,194A,10,38592.3
Salary,339694,Employee,Yes,192,30,101908.2
Rent,428072,Individual,No,194I,20,85614.4
Salary,264319,Employee,Yes,192,30,79295.7
Professional,465924,Company,Yes,194J,10,46592.4
Professional,210679,Company,Yes,194J,10,21067.9
Salary,268193,Employee,Yes,192,30,80457.9
Salary,470138,Employee,No,192,20,94027.6
Contractor,126630,Individual,Yes,194C,1,1266.3
Interest,328029,Company,Yes,194A,10,32802.9
Contractor,266148,Individual,No,194C,20,53229.6
Interest,260962,Individual,Yes,194A,10,26096.2
Salary,28723,Employee,No,192,20,5744.6
Salary,322600,Employee,Yes,192,10,32260.0
Contractor,367192,Individual,No,194C,20,73438.4
Interest,347343,Individual,No,194A,20,69468.6
Interest,41177,Individual,Yes,194A,10,4117.7
Contractor,406568,Individual,Yes,194C,2,8131.36
Rent,295850,Individual,Yes,194I,10,29585.0
Interest,396054,Company,No,194A,20,79210.8
Rent,464394,Company,No,194I,20,92878.8
Professional,136062,Company,No,194J,20,27212.4
Contractor,378662,Individual,No,194C,20,75732.4
Contractor,59554,Individual,Yes,194C,1,595.54
Contractor,130731,Company,Yes,194C,2,2614.62
Salary,305823,Employee,Yes,192,30,91746.9
Salary,382507,Employee,No,192,20,76501.4
Contractor,460930,Company,Yes,194C,1,4609.3
Interest,343770,Individual,Yes,194A,10,34377.0
Contractor,57051,Company,Yes,194C,1,570.51
Contractor,59529,Company,No,194C,20,11905.8
Interest,487814,Company,No,194A,20,97562.8
Salary,177535,Employee,Yes,192,20,35507.0
Interest,305924,Company,No,194A,20,61184.8
Interest,344273,Company,Yes,194A,10,34427.3
Interest,266836,Company,Yes,194A,10,26683.6
Professional,49354,Company,No,194J,20,9870.8
Interest,302383,Individual,Yes,194A,10,30238.3
Rent,304452,Individual,No,194I,20,60890.4
Professional,90311,Individual,No,194J,20,18062.2
Professional,132959,Company,No,194J,20,26591.8
Professional,461009,Individual,No,194J,20,92201.8
Interest,66398,Individual,Yes,194A,10,6639.8
Interest,256372,Company,No,194A,20,51274.4
Rent,297252,Company,No,194I,20,59450.4
Interest,371102,Individual,No,194A,20,74220.4
Salary,227241,Employee,No,192,20,45448.2
Interest,397273,Company,Yes,194A,10,39727.3
Contractor,370830,Individual,No,194C,20,74166.0
Professional,92171,Company,No,194J,20,18434.2
Contractor,267221,Company,No,194C,20,53444.2
Professional,491339,Company,Yes,194J,10,49133.9
Rent,137645,Individual,No,194I,20,27529.0
Salary,259089,Employee,No,192,20,51817.8
Interest,219654,Company,No,194A,20,43930.8
Salary,207846,Employee,No,192,20,41569.2
Rent,258758,Individual,No,194I,20,51751.6
Professional,133534,Individual,No,194J,20,26706.8
Professional,208433,Company,Yes,194J,10,20843.3
Professional,387689,Company,No,194J,20,77537.8
Professional,413121,Individual,Yes,194J,10,41312.1
Salary,371945,Employee,No,192,20,74389.0
Salary,121052,Employee,No,192,20,24210.4
Professional,322910,Company,No,194J,20,64582.0
Rent,201918,Individual,No,194I,20,40383.6
Professional,102372,Individual,Yes,194J,10,10237.2
Interest,259033,Company,No,194A,20,51806.6
Rent,408258,Individual,No,194I,20,81651.6
Rent,259040,Individual,Yes,194I,10,25904.0
Professional,468554,Individual,No,194J,20,93710.8
Rent,95160,Company,Yes,194I,10,9516.0
Contractor,274928,Company,Yes,194C,1,2749.28
Contractor,352611,Company,Yes,194C,1,3526.11
Professional,497202,Individual,No,194J,20,99440.4
Interest,148311,Individual,Yes,194A,10,14831.1
Professional,178494,Individual,No,194J,20,35698.8
Salary,441149,Employee,No,192,20,88229.8
Contractor,52204,Company,Yes,194C,1,522.04
Interest,305963,Company,No,194A,20,61192.6
Professional,160771,Individual,No,194J,20,32154.2
Interest,480060,Company,Yes,194A,10,48006.0
Interest,242979,Individual,Yes,194A,10,24297.9
Rent,346214,Individual,No,194I,20,69242.8
Contractor,393113,Individual,Yes,194C,1,3931.13
Contractor,228837,Company,Yes,194C,2,4576.74
Salary,432775,Employee,No,192,20,86555.0
Interest,41232,Company,No,194A,20,8246.4
Contractor,153624,Company,Yes,194C,2,3072.48
Professional,434394,Company,Yes,194J,10,43439.4
Salary,152117,Employee,Yes,192,30,45635.1
Salary,161669,Employee,Yes,192,10,16166.9
Professional,70921,Company,Yes,194J,10,7092.1
Salary,36992,Employee,No,192,20,7398.4
Professional,67128,Individual,No,194J,20,13425.6
Professional,372375,Individual,No,194J,20,74475.0
Salary,452623,Employee,Yes,192,5,22631.15
Salary,82924,Employee,Yes,192,30,24877.2
Interest,213292,Company,No,194A,20,42658.4
Interest,160149,Company,No,194A,20,32029.8
Interest,458301,Individual,No,194A,20,91660.2
Interest,91037,Company,No,194A,20,18207.4
Interest,491401,Individual,Yes,194A,10,49140.1
Rent,363048,Company,Yes,194I,10,36304.8
Professional,398513,Company,Yes,194J,10,39851.3
Professional,31200,Individual,No,194J,20,6240.0
Interest,193712,Company,No,194A,20,38742.4
Salary,44710,Employee,No,192,20,8942.0
Rent,52037,Company,Yes,194I,10,5203.7
Interest,307740,Individual,No,194A,20,61548.0
Contractor,79665,Company,Yes,194C,1,796.65
Professional,149482,Individual,No,194J,20,29896.4
Professional,239463,Individual,Yes,194J,10,23946.3
Professional,107031,Company,Yes,194J,10,10703.1
Contractor,424155,Individual,Yes,194C,1,4241.55
Contractor,55846,Company,Yes,194C,2,1116.92
Rent,494979,Individual,No,194I,20,98995.8
Rent,101704,Individual,No,194I,20,20340.8
Rent,160430,Individual,Yes,194I,10,16043.0
Professional,398963,Individual,No,194J,20,79792.6
Salary,281777,Employee,Yes,192,5,14088.85
Salary,272409,Employee,Yes,192,10,27240.9
Contractor,411824,Individual,No,194C,20,82364.8
Contractor,454281,Individual,Yes,194C,2,9085.62
Professional,76828,Company,No,194J,20,15365.6
Rent,274782,Individual,Yes,194I,10,27478.2
Salary,150316,Employee,Yes,192,5,7515.8
Contractor,201193,Company,Yes,194C,2,4023.86
Rent,240569,Individual,Yes,194I,10,24056.9
Salary,167462,Employee,Yes,192,10,16746.2
Professional,380321,Individual,Yes,194J,10,38032.1
Professional,424238,Company,No,194J,20,84847.6
Rent,308395,Company,Yes,194I,10,30839.5
Professional,333658,Individual,Yes,194J,10,33365.8
Contractor,374758,Individual,Yes,194C,1,3747.58
Contractor,29435,Company,No,194C,20,5887.0
Interest,68176,Company,Yes,194A,10,6817.6
Professional,119310,Individual,Yes,194J,10,11931.0
Contractor,349361,Company,No,194C,20,69872.2
Rent,499253,Company,No,194I,20,99850.6
Rent,202618,Individual,No,194I,20,40523.6
Professional,36724,Company,No,194J,20,7344.8
Interest,479995,Individual,No,194A,20,95999.0
Rent,103253,Individual,Yes,194I,10,10325.3
Rent,376390,Company,No,194I,20,75278.0
Salary,120363,Employee,No,192,20,24072.6
Rent,122740,Company,Yes,194I,10,12274.0
Professional,161298,Individual,Yes,194J,10,16129.8
Salary,236513,Employee,No,192,20,47302.6
Salary,128463,Employee,No,192,20,25692.6
Professional,27498,Company,No,194J,20,5499.6
Contractor,449091,Individual,Yes,194C,1,4490.91
Contractor,151078,Company,No,194C,20,30215.6
Professional,170230,Individual,No,194J,20,34046.0
Professional,160119,Company,No,194J,20,32023.8
Rent,130243,Company,No,194I,20,26048.6
Salary,246861,Employee,No,192,20,49372.2
Rent,66113,Individual,Yes,194I,10,6611.3
Contractor,463914,Company,No,194C,20,92782.8
Salary,256585,Employee,No,192,20,51317.0
Contractor,423987,Company,Yes,194C,2,8479.74
Interest,67669,Individual,Yes,194A,10,6766.9
Rent,154077,Company,No,194I,20,30815.4
Contractor,289778,Individual,No,194C,20,57955.6
Salary,104869,Employee,No,192,20,20973.8
Professional,88206,Company,Yes,194J,10,8820.6
Rent,454078,Individual,Yes,194I,10,45407.8
Rent,431568,Individual,Yes,194I,10,43156.8
Salary,338183,Employee,Yes,192,10,33818.3
Salary,49545,Employee,Yes,192,30,14863.5
Contractor,393501,Individual,No,194C,20,78700.2
Salary,178018,Employee,Yes,192,5,8900.9
Interest,334978,Individual,Yes,194A,10,33497.8
Salary,316824,Employee,No,192,20,63364.8
Professional,110285,Individual,No,194J,20,22057.0
Contractor,202399,Individual,Yes,194C,2,4047.98
Salary,370191,Employee,Yes,192,30,111057.3
Rent,432860,Individual,Yes,194I,10,43286.0
Professional,55094,Company,Yes,194J,10,5509.4
Professional,408937,Company,No,194J,20,81787.4
Contractor,86033,Individual,No,194C,20,17206.6
Salary,425205,Employee,Yes,192,5,21260.25
Salary,305856,Employee,Yes,192,20,61171.2
Salary,377681,Employee,No,192,20,75536.2
Interest,292543,Company,No,194A,20,58508.6
Interest,363534,Individual,No,194A,20,72706.8
Interest,259279,Individual,No,194A,20,51855.8
Salary,300385,Employee,Yes,192,30,90115.5
Salary,374799,Employee,Yes,192,20,74959.8
Contractor,34614,Individual,No,194C,20,6922.8
Interest,409793,Company,Yes,194A,10,40979.3
Rent,42216,Individual,Yes,194I,10,4221.6
Rent,243179,Company,No,194I,20,48635.8
Contractor,285869,Company,Yes,194C,2,5717.38
Rent,101926,Individual,No,194I,20,20385.2
Interest,405617,Company,No,194A,20,81123.4
Contractor,53988,Individual,Yes,194C,2,1079.76
Contractor,31026,Individual,No,194C,20,6205.2
Professional,162031,Company,No,194J,20,32406.2
Professional,221036,Company,No,194J,20,44207.2
Interest,229812,Company,No,194A,20,45962.4
Rent,147032,Company,No,194I,20,29406.4
Salary,374694,Employee,Yes,192,5,18734.7
Rent,230707,Individual,Yes,194I,10,23070.7
Salary,241288,Employee,Yes,192,20,48257.6
Salary,400435,Employee,No,192,20,80087.0
Contractor,373790,Company,No,194C,20,74758.0
Professional,491115,Individual,No,194J,20,98223.0
Rent,360635,Company,Yes,194I,10,36063.5
Salary,101122,Employee,No,192,20,20224.4
Salary,206182,Employee,Yes,192,30,61854.6
Professional,328775,Company,No,194J,20,65755.0
Contractor,401093,Individual,Yes,194C,2,8021.86
Interest,361183,Individual,Yes,194A,10,36118.3
Contractor,484359,Individual,No,194C,20,96871.8
Professional,178482,Individual,No,194J,20,35696.4
Professional,46779,Individual,Yes,194J,10,4677.9
Interest,458062,Individual,Yes,194A,10,45806.2
Rent,39799,Company,Yes,194I,10,3979.9
Contractor,115385,Company,No,194C,20,23077.0
Interest,165032,Individual,No,194A,20,33006.4
Rent,131873,Company,No,194I,20,26374.6
Interest,419889,Individual,No,194A,20,83977.8
Rent,87889,Individual,No,194I,20,17577.8
Salary,350454,Employee,No,192,20,70090.8
Interest,110786,Company,No,194A,20,22157.2
Rent,201943,Individual,No,194I,20,40388.6
Interest,231175,Company,No,194A,20,46235.0
Interest,423470,Individual,Yes,194A,10,42347.0
Contractor,248578,Company,Yes,194C,1,2485.78
Rent,308791,Company,Yes,194I,10,30879.1
Salary,431242,Employee,No,192,20,86248.4
Professional,398160,Individual,Yes,194J,10,39816.0
Professional,384024,Individual,Yes,194J,10,38402.4
Interest,366342,Individual,Yes,194A,10,36634.2
Contractor,155230,Individual,Yes,194C,1,1552.3
Interest,297506,Individual,Yes,194A,10,29750.6
Interest,443327,Individual,No,194A,20,88665.4
Interest,266975,Individual,No,194A,20,53395.0
Contractor,199974,Company,No,194C,20,39994.8
Interest,349238,Individual,Yes,194A,10,34923.8
Interest,197990,Individual,No,194A,20,39598.0
Salary,383748,Employee,Yes,192,10,38374.8
Salary,263559,Employee,No,192,20,52711.8
Professional,382120,Company,No,194J,20,76424.0
Interest,457898,Company,Yes,194A,10,45789.8
Contractor,400687,Company,Yes,194C,1,4006.87
Interest,426997,Company,No,194A,20,85399.4
Salary,370834,Employee,Yes,192,30,111250.2
Interest,443629,Individual,No,194A,20,88725.8
Professional,64576,Company,Yes,194J,10,6457.6
Contractor,411599,Individual,Yes,194C,1,4115.99
Contractor,290507,Individual,Yes,194C,1,2905.07
Contractor,301985,Individual,No,194C,20,60397.0
Interest,439747,Individual,Yes,194A,10,43974.7
Rent,285456,Company,Yes,194I,10,28545.6
Contractor,411782,Individual,Yes,194C,2,8235.64
Rent,53958,Individual,No,194I,20,10791.6
Salary,488252,Employee,Yes,192,10,48825.2
Contractor,351994,Individual,Yes,194C,1,3519.94
Rent,272427,Individual,No,194I,20,54485.4
Interest,294178,Individual,No,194A,20,58835.6
Contractor,177491,Company,Yes,194C,1,1774.91
Professional,25594,Individual,No,194J,20,5118.8
Salary,294848,Employee,No,192,20,58969.6
Salary,444615,Employee,Yes,192,5,22230.75
Rent,96826,Individual,Yes,194I,10,9682.6
Professional,190156,Company,No,194J,20,38031.2
Interest,154972,Individual,Yes,194A,10,15497.2
Professional,43573,Individual,Yes,194J,10,4357.3
Rent,487502,Company,No,194I,20,97500.4
Interest,429600,Company,No,194A,20,85920.0
Salary,129699,Employee,No,192,20,25939.8
Contractor,278814,Company,Yes,194C,1,2788.14
Professional,216043,Individual,Yes,194J,10,21604.3
Professional,82471,Individual,Yes,194J,10,8247.1
Interest,144873,Company,Yes,194A,10,14487.3
Contractor,448002,Individual,No,194C,20,89600.4
Salary,256275,Employee,No,192,20,51255.0
Interest,307973,Individual,Yes,194A,10,30797.3
Contractor,356860,Individual,Yes,194C,1,3568.6
Contractor,149396,Company,Yes,194C,1,1493.96
Interest,452498,Company,No,194A,20,90499.6
Professional,235808,Individual,No,194J,20,47161.6
Interest,31483,Company,Yes,194A,10,3148.3
Interest,372435,Individual,Yes,194A,10,37243.5
Contractor,456243,Individual,Yes,194C,2,9124.86
Professional,20615,Individual,No,194J,20,4123.0
Rent,418857,Company,No,194I,20,83771.4
Professional,254265,Company,Yes,194J,10,25426.5
Interest,63152,Company,No,194A,20,12630.4
Interest,88253,Company,No,194A,20,17650.6
Salary,375784,Employee,Yes,192,30,112735.2
Contractor,248589,Company,Yes,194C,1,2485.89
Contractor,66369,Company,No,194C,20,13273.8
Rent,150269,Individual,No,194I,20,30053.8
Professional,313201,Individual,No,194J,20,62640.2
Professional,324133,Company,Yes,194J,10,32413.3
Interest,309479,Individual,Yes,194A,10,30947.9
Rent,143402,Company,No,194I,20,28680.4
Salary,162490,Employee,No,192,20,32498.0
Interest,68003,Individual,No,194A,20,13600.6
Salary,160911,Employee,No,192,20,32182.2
Interest,428122,Individual,No,194A,20,85624.4
Professional,129496,Individual,No,194J,20,25899.2
Rent,485763,Individual,No,194I,20,97152.6
Salary,455543,Employee,No,192,20,91108.6
Professional,415310,Individual,No,194J,20,83062.0
Professional,413268,Individual,No,194J,20,82653.6
Rent,166708,Individual,Yes,194I,10,16670.8
Professional,68524,Individual,No,194J,20,13704.8
Contractor,122406,Individual,Yes,194C,1,1224.06
Contractor,187669,Company,Yes,194C,2,3753.38
Professional,298737,Individual,No,194J,20,59747.4
Salary,249669,Employee,Yes,192,5,12483.45
Interest,337332,Individual,Yes,194A,10,33733.2
Rent,249650,Company,No,194I,20,49930.0
Interest,77917,Individual,No,194A,20,15583.4
Rent,375555,Individual,Yes,194I,10,37555.5
Salary,429893,Employee,No,192,20,85978.6
Salary,32626,Employee,Yes,192,30,9787.8
Salary,181938,Employee,No,192,20,36387.6
Rent,490643,Company,No,194I,20,98128.6
Interest,224604,Company,Yes,194A,10,22460.4
Salary,103694,Employee,Yes,192,20,20738.8
Salary,88990,Employee,No,192,20,17798.0
Contractor,109989,Individual,No,194C,20,21997.8
Rent,489741,Company,Yes,194I,10,48974.1
Professional,443906,Individual,Yes,194J,10,44390.6
Rent,315621,Individual,Yes,194I,10,31562.1
Interest,38588,Company,No,194A,20,7717.6
Rent,338544,Company,No,194I,20,67708.8
Rent,284460,Company,Yes,194I,10,28446.0
Contractor,344310,Individual,Yes,194C,2,6886.2
Contractor,443275,Company,No,194C,20,88655.0
Contractor,228976,Company,Yes,194C,1,2289.76
Professional,33256,Individual,Yes,194J,10,3325.6
Rent,298935,Company,No,194I,20,59787.0
Rent,135104,Company,No,194I,20,27020.8
Contractor,122750,Company,No,194C,20,24550.0
Salary,457026,Employee,Yes,192,30,137107.8
Contractor,162580,Individual,Yes,194C,1,1625.8
Salary,366348,Employee,No,192,20,73269.6
Interest,30489,Company,Yes,194A,10,3048.9
Salary,83130,Employee,No,192,20,16626.0
Rent,369689,Company,Yes,194I,10,36968.9
Salary,392792,Employee,Yes,192,20,78558.4
Professional,33044,Individual,No,194J,20,6608.8
Salary,350781,Employee,Yes,192,10,35078.1
Interest,77886,Individual,Yes,194A,10,7788.6
Rent,424613,Individual,No,194I,20,84922.6
Contractor,355470,Company,Yes,194C,2,7109.4
Interest,50586,Individual,No,194A,20,10117.2
Rent,211637,Company,Yes,194I,10,21163.7
Contractor,226824,Individual,Yes,194C,1,2268.24
Interest,468862,Individual,Yes,194A,10,46886.2
Contractor,326156,Company,No,194C,20,65231.2
Salary,320821,Employee,No,192,20,64164.2
Interest,478585,Individual,Yes,194A,10,47858.5
Professional,139293,Company,Yes,194J,10,13929.3
Rent,381118,Individual,Yes,194I,10,38111.8
Rent,21714,Company,No,194I,20,4342.8
Interest,82699,Company,No,194A,20,16539.8
Rent,336974,Company,No,194I,20,67394.8
Professional,471287,Company,Yes,194J,10,47128.7
Interest,366536,Company,No,194A,20,73307.2
Salary,172505,Employee,No,192,20,34501.0
Contractor,380265,Individual,No,194C,20,76053.0
Salary,147251,Employee,No,192,20,29450.2
Contractor,411710,Company,Yes,194C,1,4117.1
Interest,108152,Company,Yes,194A,10,10815.2
Professional,41451,Individual,No,194J,20,8290.2
Professional,59066,Company,Yes,194J,10,5906.6
Interest,236277,Company,No,194A,20,47255.4
Professional,333840,Company,Yes,194J,10,33384.0
Salary,318054,Employee,No,192,20,63610.8
Interest,55846,Individual,Yes,194A,10,5584.6
Professional,215933,Company,Yes,194J,10,21593.3
Contractor,400997,Company,No,194C,20,80199.4
Salary,332879,Employee,Yes,192,5,16643.95
Salary,40010,Employee,No,192,20,8002.0
Rent,341231,Company,No,194I,20,68246.2
Interest,245203,Company,No,194A,20,49040.6
Rent,340527,Individual,No,194I,20,68105.4
Contractor,105670,Company,No,194C,20,21134.0
Contractor,385146,Company,Yes,194C,2,7702.92
Contractor,430936,Individual,No,194C,20,86187.2
Salary,261611,Employee,No,192,20,52322.2
Interest,321930,Company,Yes,194A,10,32193.0
Interest,139356,Company,Yes,194A,10,13935.6
Interest,72858,Individual,No,194A,20,14571.6
Contractor,465164,Individual,Yes,194C,1,4651.64
Rent,35714,Individual,No,194I,20,7142.8
Interest,215719,Individual,Yes,194A,10,21571.9
Rent,201502,Company,No,194I,20,40300.4
Rent,127307,Individual,Yes,194I,10,12730.7
Interest,121546,Company,No,194A,20,24309.2
Salary,387170,Employee,Yes,192,5,19358.5
Contractor,184704,Individual,No,194C,20,36940.8
Rent,103192,Individual,Yes,194I,10,10319.2
Rent,389307,Individual,Yes,194I,10,38930.7
Contractor,40171,Individual,Yes,194C,1,401.71
Salary,53456,Employee,No,192,20,10691.2
Salary,289410,Employee,Yes,192,20,57882.0
Salary,176813,Employee,Yes,192,10,17681.3
Rent,467700,Individual,Yes,194I,10,46770.0
Professional,350425,Individual,Yes,194J,10,35042.5
Interest,281835,Company,Yes,194A,10,28183.5
Rent,256159,Company,Yes,194I,10,25615.9
Rent,158906,Company,No,194I,20,31781.2
Contractor,418082,Company,Yes,194C,2,8361.64
Rent,164478,Company,No,194I,20,32895.6
Interest,374399,Company,Yes,194A,10,37439.9
Professional,52138,Individual,Yes,194J,10,5213.8
Contractor,430338,Individual,No,194C,20,86067.6
Rent,139311,Individual,No,194I,20,27862.2
Salary,357900,Employee,Yes,192,5,17895.0
Professional,318104,Individual,Yes,194J,10,31810.4
Salary,432421,Employee,Yes,192,10,43242.1
Contractor,481385,Individual,No,194C,20,96277.0
Professional,456599,Company,No,194J,20,91319.8
Rent,288137,Individual,Yes,194I,10,28813.7
Rent,108765,Individual,No,194I,20,21753.0
Professional,159548,Company,No,194J,20,31909.6
Professional,463917,Individual,No,194J,20,92783.4
Professional,45543,Company,No,194J,20,9108.6
Contractor,283905,Company,Yes,194C,2,5678.1
Interest,264273,Individual,No,194A,20,52854.6
Rent,245223,Company,No,194I,20,49044.6
Professional,32482,Company,No,194J,20,6496.4
Rent,215270,Company,No,194I,20,43054.0
Contractor,462938,Company,Yes,194C,2,9258.76
Contractor,109813,Individual,Yes,194C,2,2196.26
Rent,79511,Individual,No,194I,20,15902.2
Interest,405629,Company,No,194A,20,81125.8
Contractor,323402,Individual,Yes,194C,2,6468.04
Contractor,492043,Individual,No,194C,20,98408.6
Rent,422738,Company,Yes,194I,10,42273.8
Professional,80554,Individual,No,194J,20,16110.8
Contractor,389327,Individual,No,194C,20,77865.4
Salary,440673,Employee,Yes,192,10,44067.3
Salary,409853,Employee,No,192,20,81970.6
Salary,157405,Employee,Yes,192,5,7870.25
Interest,165826,Company,Yes,194A,10,16582.6
Interest,310639,Company,Yes,194A,10,31063.9
Salary,244629,Employee,Yes,192,20,48925.8
Interest,291318,Company,No,194A,20,58263.6
Contractor,259848,Individual,Yes,194C,2,5196.96
Professional,285275,Company,Yes,194J,10,28527.5
Rent,336509,Company,No,194I,20,67301.8
Rent,185492,Individual,Yes,194I,10,18549.2
Interest,33441,Company,Yes,194A,10,3344.1
Interest,44346,Company,No,194A,20,8869.2
Contractor,222452,Individual,No,194C,20,44490.4
Rent,325389,Individual,No,194I,20,65077.8
Interest,172702,Company,No,194A,20,34540.4
Contractor,159939,Individual,No,194C,20,31987.8
Contractor,309908,Company,No,194C,20,61981.6
Rent,302627,Company,No,194I,20,60525.4
Contractor,358335,Individual,No,194C,20,71667.0
Interest,53794,Company,Yes,194A,10,5379.4
Professional,26737,Company,Yes,194J,10,2673.7
Interest,234965,Company,No,194A,20,46993.0
Rent,399983,Individual,Yes,194I,10,39998.3
Salary,20734,Employee,Yes,192,30,6220.2
Interest,186982,Company,Yes,194A,10,18698.2
Professional,289154,Company,Yes,194J,10,28915.4
Rent,162129,Individual,Yes,194I,10,16212.9
Salary,363299,Employee,No,192,20,72659.8
Interest,275781,Individual,No,194A,20,55156.2
Interest,135875,Company,Yes,194A,10,13587.5
Rent,166883,Company,No,194I,20,33376.6
Interest,451758,Individual,No,194A,20,90351.6
Salary,80534,Employee,Yes,192,5,4026.7
Salary,222606,Employee,Yes,192,20,44521.2
Professional,434419,Company,No,194J,20,86883.8
Contractor,182627,Individual,Yes,194C,2,3652.54
Salary,144618,Employee,No,192,20,28923.6
Rent,46849,Individual,Yes,194I,10,4684.9
Interest,257369,Company,Yes,194A,10,25736.9
Salary,180175,Employee,Yes,192,30,54052.5
Professional,51369,Individual,No,194J,20,10273.8
Contractor,70477,Company,Yes,194C,1,704.77
Salary,342716,Employee,Yes,192,10,34271.6
Rent,402626,Company,No,194I,20,80525.2
Interest,466248,Individual,No,194A,20,93249.6
Rent,492096,Company,No,194I,20,98419.2
Interest,122272,Individual,Yes,194A,10,12227.2
Interest,187208,Individual,Yes,194A,10,18720.8
Salary,322376,Employee,No,192,20,64475.2
Interest,311487,Individual,Yes,194A,10,31148.7
Rent,430905,Individual,Yes,194I,10,43090.5
Interest,194679,Company,Yes,194A,10,19467.9
Rent,172968,Company,Yes,194I,10,17296.8
Interest,90921,Company,Yes,194A,10,9092.1
Salary,423052,Employee,No,192,20,84610.4
Contractor,414809,Individual,No,194C,20,82961.8
Salary,483689,Employee,No,192,20,96737.8
Rent,295086,Individual,No,194I,20,59017.2
Rent,451621,Individual,Yes,194I,10,45162.1
Salary,298453,Employee,Yes,192,10,29845.3
Professional,81450,Company,Yes,194J,10,8145.0
Contractor,277500,Individual,No,194C,20,55500.0
Salary,239757,Employee,Yes,192,20,47951.4
Contractor,174890,Individual,Yes,194C,2,3497.8
Contractor,491252,Individual,No,194C,20,98250.4
Salary,24951,Employee,Yes,192,5,1247.55
Professional,488366,Company,Yes,194J,10,48836.6
Contractor,493960,Individual,Yes,194C,1,4939.6
Interest,214350,Company,No,194A,20,42870.0
Interest,140546,Company,No,194A,20,28109.2
Salary,53642,Employee,Yes,192,20,10728.4
Rent,41259,Individual,No,194I,20,8251.8
Salary,275640,Employee,No,192,20,55128.0
Salary,144661,Employee,No,192,20,28932.2
Rent,461845,Company,No,194I,20,92369.0
Salary,74629,Employee,Yes,192,20,14925.8
Salary,325573,Employee,Yes,192,5,16278.65
Interest,108490,Company,Yes,194A,10,10849.0
Salary,238980,Employee,Yes,192,30,71694.0
Rent,297446,Company,No,194I,20,59489.2
Interest,274910,Individual,Yes,194A,10,27491.0
Contractor,137450,Company,Yes,194C,2,2749.0
Interest,177568,Individual,Yes,194A,10,17756.8
Contractor,46823,Individual,No,194C,20,9364.6
Contractor,317200,Company,No,194C,20,63440.0
Rent,195699,Individual,Yes,194I,10,19569.9
Contractor,206530,Company,Yes,194C,1,2065.3
Interest,281442,Individual,No,194A,20,56288.4
Salary,73940,Employee,No,192,20,14788.0
Interest,213442,Company,No,194A,20,42688.4
Professional,61426,Individual,Yes,194J,10,6142.6
Rent,273306,Individual,Yes,194I,10,27330.6
Professional,327729,Individual,Yes,194J,10,32772.9
Salary,198566,Employee,Yes,192,30,59569.8
Professional,175935,Individual,No,194J,20,35187.0
Salary,279309,Employee,No,192,20,55861.8
Professional,107660,Company,No,194J,20,21532.0
Interest,285946,Company,Yes,194A,10,28594.6
Rent,380417,Individual,No,194I,20,76083.4
Rent,284253,Company,No,194I,20,56850.6
Salary,404061,Employee,No,192,20,80812.2
Contractor,28425,Individual,No,194C,20,5685.0
Interest,204586,Individual,No,194A,20,40917.2
Interest,227654,Individual,No,194A,20,45530.8
